Road_No,Name of road,Total Stretch,Total Length,Start_KM,End_KM,Length,Stretch,Year,Scheme,Started Year,Completed Year,Work Type
MDR-613,Kokkulam- Uthappanaickanur road ,Km 0/0-29/2,29.2,3.8,5,5.4,KM 2/0 - 7/6,CRIDP 2025-26,CRIDP,2025,2026,Wdg & Stg
MDR-613,Kokkulam- Uthappanaickanur road ,Km 0/0-29/2,29.2,5,7.4,2.4,KM 2/0 - 7/6,CRIDP 2018-19,CRIDP,2018,2019,Strengthening
MDR-613,Kokkulam- Uthappanaickanur road ,Km 0/0-29/2,29.2,7.4,21,13.6,KM 7/6 - 21/0,CRF 2017-18,CRF,2017,2018,Wdg & Stg
MDR-613,Kokkulam- Uthappanaickanur road ,Km 0/0-29/2,29.2,21,23,2,KM 21/0 - 23/0,CRIDP 2019-20,CRIDP,2019,2020,Strengthening
MDR-613,Kokkulam- Uthappanaickanur road ,Km 0/0-29/2,29.2,23,29.2,6.2,KM 23/0 - 29/2,CRIDP 2018-19,CRIDP,2018,2019,Strengthening
MDR-721,Thum-Ulaipatti road,Km 8/312-18/927,10.615,8.312,18.927,10.615,KM 8/312 - 18/615,CRIDP 2023-24,CRIDP,2023,2024,IRQP
MDR-961,Padees-Pannikundu,Km 0/0-2/6,2.6,0,2.6,2.6,KM 0/0 - 2/6,SRPR 2023-24,SRPR,2023,2024,IRQP
MDR-954,Chithalai-Thidiyan,Km 17/0-19/0,2,17,19.2,2.2,KM 17/0 - 19/2,CRIDP 2018-19,CRIDP,2018,2019,Strengthening
O-7089,Thumm-Nalluthevanpatti road,Km 0/0-11/357,11.357,0,0.8,0.8,KM 0/0 - 0/8,CRIDP 2017-18,CRIDP,2017,2018,Strengthening
O-7089,Thumm-Nalluthevanpatti road,Km 0/0-11/357,11.357,0.8,3.4,2.6,KM 0/8 - 3/4,CRIDP 2019-20,CRIDP,2019,2020,Strengthening
O-7089,Thumm-Nalluthevanpatti road,Km 0/0-11/357,11.357,3.4,4.6,1.2,KM 3/4 - 4/6,CRIDP 2017-18,CRIDP,2017,2018,Strengthening
O-7089,Thumm-Nalluthevanpatti road,Km 0/0-11/357,11.357,4.6,6,1.4,KM 4/6 - 6/0,CRIDP 2019-20,CRIDP,2019,2020,Strengthening
O-7089,Thumm-Nalluthevanpatti road,Km 0/0-11/357,11.357,6,9.4,3.4,KM 6/0 - 9/4,CRIDP 2017-18,CRIDP,2017,2018,Strengthening
O-7089,Thumm-Nalluthevanpatti road,Km 0/0-11/357,11.357,9.4,11.357,1.957,KM 9/4 - 11/357,CRIDP 2019-20,CRIDP,2019,2020,Strengthening
O-3171,Kovilankulam-Thimmanatham,Km 4/2-13/8,9.6,4.2,6,1.8,KM 4/2 - 6/0,CRIDP 2019-20,CRIDP,2019,2020,Strengthening
O-3171,Kovilankulam-Thimmanatham,Km 4/2-13/8,9.6,6,11,5,KM 6/0 - 11/0,CRIDP 2022-23,CRIDP,2022,2023,IRQP
O-3171,Kovilankulam-Thimmanatham,Km 4/2-13/8,9.6,11,12.6,1.6,KM 11/0 - 12/6,CRIDP 2019-20,CRIDP,2019,2020,Strengthening
O-3171,Kovilankulam-Thimmanatham,Km 4/2-13/8,9.6,12.6,13.8,1.2,KM 12/6 - 13/8,SRPR 2019-20,SRPR,2019,2020,IRQP
O-7479,Valandur-Pappapatti,Km 0/0-7/6,7.6,0,5,5,KM 0/0 - 5/0,CRIDP 2019-20,CRIDP,2019,2020,Strengthening
O-7479,Valandur-Pappapatti,Km 0/0-7/6,7.6,5,7.6,2.6,KM 5/0 - 7/6,CRIDP 2025-26,CRIDP,2025,2026,Wdg & Stg
